paper_id,short_id,title,venue,year,conf_year,authors,abstract_raw,paper_link,arxiv_id,arxiv_url,keywords_raw,source_type,source_url,openreview_forum_id,has_pdf_camera_ready,state,filter_source,keyword_hits,embedding_score,ai_score,ai_reason,review_adjusted,review_adjust_reason,final_score,importance,core_or_edge,tags,topic_bucket,pdf_path,has_abstract,has_pdf_link,pdf_url,openreview_rating_mean,openreview_confidence_mean,openreview_decision,presentation_type,citation_count
ACMMM_2025::d_gaussian_dynamic_control_with_discretized_3d_view_modeling_for_text_driven_3d_gaussian_splatting_editing,ACMMM_2025_A231_DGaussianDynamic,D²Gaussian: Dynamic Control with Discretized 3D View Modeling for Text-Driven 3D Gaussian Splatting Editing,ACMMM,2025,ACMMM_2025,Yefei Sheng; Jie Wang; Ming Tao; Bingkun BAO,"Current advances in text-driven 3D scene editing tasks typically render the 3D representations into multi-view images and modify the images with the text instructions. Context consistency across multiple views and cross-modal consistency in the single-view are the keys to effective 3D editing. Accordingly, existing methods introduce additional image constraints and apply pre-trained 2D editing models. However, they fix the same text instruction across all views and freeze the pre-trained 2D model for single-view editing, leading to deficient modeling of 3D scene views and results in inconsistent generations with visual artifacts. To address these limitations, we introduce a discretized 3D view modeling method and a diffusion-based multi-view consistent editing pipeline for text-driven 3D gaussian splatting editing, abbreviated as D2Gaussian. Specifically, our approach constructs a codebook that encodes continuous 3D view information into discrete token embeddings to model the spatial feature expressions. Then, the token embeddings are proposed to guide and finetune the diffusion-based image editing model with the dynamic addition of control conditions, yielding a multi-view consistent editing pipeline. Finally, we introduce a 3D editing dataset generation approach along with a 3D-CLIP-SIM metric to form a benchmark, 3D-MagicBrush, to provide more diverse evaluation scenarios for future 3D editing works. Experiments demonstrate that our method achieves better visual results and multi-view consistency than previous state-of-the-art methods.",,,,,acmmm_html,fixture://acmmm_2025_regular.html,,,Wait,keyword,1,0.0,S,Text-driven 3DGS editing with dynamic control.,,,S,S,,,,,1,0,,,,,,
CVPR_2024::4d_gaussian_splatting_for_real_time_dynamic_scene_rendering,CVPR_2024_A029_4dGaussianSplatting,4D Gaussian Splatting for Real-Time Dynamic Scene Rendering,CVPR,2024,CVPR_2024,Guanjun Wu; Taoran Yi; Jiemin Fang; Lingxi Xie; Xiaopeng Zhang; Wei Wei; Wenyu Liu; Qi Tian; Xinggang Wang,"Representing and rendering dynamic scenes has been an important but challenging task. Especially, to accurately model complex motions, high efficiency is usually hard to guarantee. To achieve real-time dynamic scene rendering while also enjoying high training and storage efficiency, we propose 4D Gaussian Splatting (4D-GS) as a holistic representation for dynamic scenes rather than applying 3D-GS for each individual frame. In 4D-GS, a novel explicit representation containing both 3D Gaussians and 4D neural voxels is proposed. A decomposed neural voxel encoding algorithm inspired by HexPlane is proposed to efficiently build Gaussian features from 4D neural voxels and then a lightweight MLP is applied to predict Gaussian deformations at novel timestamps. Our 4D-GS method achieves real-time rendering under high resolutions, 82 FPS at an 800x800 resolution on an RTX 3090 GPU while maintaining comparable or better quality than previous state- of-the-art methods. More demos and code are available at https://guanjunwu.github.io/4dgs/.",https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_4D_Gaussian_Splatting_for_Real-Time_Dynamic_Scene_Rendering_CVPR_2024_paper.pdf,2310.08528,https://arxiv.org/abs/2310.08528,,cvpr_openaccess_html,https://openaccess.thecvf.com/CVPR2024?day=all,,true,Wait,both,2,0.875156819820404,S,Foundational 4D-GS paper introducing core representation combining 3D Gaussians with 4D neural voxels for dynamic scene rendering. Primary baseline for any 4DGS editing work.,,,S,S,,,,,1,1,https://arxiv.org/pdf/2310.08528.pdf,,,,,
CVPR_2025::ctrl_d_controllable_dynamic_3d_scene_editing_with_personalized_2d_diffusion,CVPR_2025_A3194_CtrlDControllable,CTRL-D: Controllable Dynamic 3D Scene Editing with Personalized 2D Diffusion,CVPR,2025,CVPR_2025,Kai He; Chin-Hsuan Wu; Igor Gilitschenski,"Achieving controllable and consistent editing in dynamic 3D scenes remains a significant challenge. Previous work is largely constrained by its editing backbones, resulting in inconsistent edits and limited controllability. We propose to address this challenge using personalized diffusion models. In our work, we introduce a novel framework that first fine-tunes the InstructPix2Pix model, followed by a two-stage optimization of the scene based on deformable 3D Gaussians. The fine-tuning enables the model to &quot;learn&quot; the editing ability from a single edited reference image. This reduces the more complex task of dynamic scene editing to the more simple 2D image editing problem. By directly learning editing regions and styles from the reference, our approach enables consistent and precise local edits without the need for tracking desired editing regions, effectively addressing key challenges in dynamic scene editing. Then, our two-stage optimization progressively edits the trained dynamic scene, using a designed edited image buffer to accelerate convergence and improve temporal consistency. Compared to state-of-the-art methods, our approach offers more flexible and controllable local scene editing, achieving high-quality and consistent results.",https://openaccess.thecvf.com/content/CVPR2025/papers/He_CTRL-D_Controllable_Dynamic_3D_Scene_Editing_with_Personalized_2D_Diffusion_CVPR_2025_paper.pdf,,,,cvpr_openaccess_html,fixture://cvpr_2025_openaccess.html,,true,Wait,keyword,1,0.0,S,Directly addresses controllable editing of dynamic 3D scenes.,,,S,S,,,,,1,1,https://openaccess.thecvf.com/content/CVPR2025/papers/He_CTRL-D_Controllable_Dynamic_3D_Scene_Editing_with_Personalized_2D_Diffusion_CVPR_2025_paper.pdf,,,,,
CVPR_2025::efficient_dynamic_scene_editing_via_4d_gaussian_based_static_dynamic_separation,CVPR_2025_A3476_EfficientDynamicScene,Efficient Dynamic Scene Editing via 4D Gaussian-based Static-Dynamic Separation,CVPR,2025,CVPR_2025,Joohyun Kwon; Hanbyel Cho; Junmo Kim,"Recent 4D dynamic scene editing methods require editing thousands of 2D images used for dynamic scene synthesis and updating the entire scene with additional training loops, resulting in several hours of processing to edit a single dynamic scene. Therefore, these methods are not scalable with respect to the temporal dimension of the dynamic scene (i.e., the number of timesteps). In this work, we propose Instruct-4DGS, an efficient dynamic scene editing method that is more scalable in terms of temporal dimension. To achieve computational efficiency, we leverage a 4D Gaussian representation that models a 4D dynamic scene by combining static 3D Gaussians with a Hexplane-based deformation field, which captures dynamic information. We then perform editing solely on the static 3D Gaussians, which is the minimal but sufficient component required for visual editing. To resolve the misalignment between the edited 3D Gaussians and the deformation field, which may arise from the editing process, we introduce a refinement stage using a score distillation mechanism. Extensive editing results demonstrate that Instruct-4DGS is efficient, reducing editing time by more than half compared to existing methods while achieving high-quality edits that better follow user instructions. Code and results: https://hanbyelcho.info/instruct-4dgs/",https://openaccess.thecvf.com/content/CVPR2025/papers/Kwon_Efficient_Dynamic_Scene_Editing_via_4D_Gaussian-based_Static-Dynamic_Separation_CVPR_2025_paper.pdf,2502.02091,https://arxiv.org/abs/2502.02091,,cvpr_openaccess_html,fixture://cvpr_2025_openaccess.html,,true,Wait,both,2,0.8466252088546753,S,Directly addresses efficient editing of 4D dynamic scenes using 4DGS with static-dynamic separation.,,,S,S,,,,,1,1,https://arxiv.org/pdf/2502.02091.pdf,,,,,
CVPR_2024::instruct_4d_to_4d_editing_4d_scenes_as_pseudo_3d_scenes_using_2d_diffusion,CVPR_2024_A1209_Instruct4dTo,Instruct 4D-to-4D: Editing 4D Scenes as Pseudo-3D Scenes Using 2D Diffusion,CVPR,2024,CVPR_2024,Linzhan Mou; Jun-Kun Chen; Yu-Xiong Wang,This paper proposes Instruct 4D-to-4D that achieves 4D awareness and spatial-temporal consistency for 2D diffusion models to generate high-quality instruction-guided dynamic scene editing results. Traditional applications of 2D diffusion models in dynamic scene editing often result in inconsistency primarily due to their inherent frame-by-frame editing methodology. Addressing the complexities of extending instruction-guided editing to 4D our key insight is to treat a 4D scene as a pseudo-3D scene decoupled into two sub-problems: achieving temporal consistency in video editing and applying these edits to the pseudo-3D scene. Following this we first enhance the Instruct-Pix2Pix (IP2P) model with an anchor-aware attention module for batch processing and consistent editing. Additionally we integrate optical flow-guided appearance propagation in a sliding window fashion for more precise frame-to-frame editing and incorporate depth-based projection to manage the extensive data of pseudo-3D scenes followed by iterative editing to achieve convergence. We extensively evaluate our approach in various scenes and editing instructions and demonstrate that it achieves spatially and temporally consistent editing results with significantly enhanced detail and sharpness over the prior art. Notably Instruct 4D-to-4D is general and applicable to both monocular and challenging multi-camera scenes.,https://openaccess.thecvf.com/content/CVPR2024/papers/Mou_Instruct_4D-to-4D_Editing_4D_Scenes_as_Pseudo-3D_Scenes_Using_2D_CVPR_2024_paper.pdf,,,,cvpr_openaccess_html,https://openaccess.thecvf.com/CVPR2024?day=all,,true,Wait,keyword,1,0.0,S,Directly addresses instruction-guided editing of 4D dynamic scenes.,,,S,S,,,,,1,1,https://openaccess.thecvf.com/content/CVPR2024/papers/Mou_Instruct_4D-to-4D_Editing_4D_Scenes_as_Pseudo-3D_Scenes_Using_2D_CVPR_2024_paper.pdf,,,,,
CVPR_2024::sc_gs_sparse_controlled_gaussian_splatting_for_editable_dynamic_scenes,CVPR_2024_A2088_ScGsSparse,SC-GS: Sparse-Controlled Gaussian Splatting for Editable Dynamic Scenes,CVPR,2024,CVPR_2024,Yi-Hua Huang; Yang-Tian Sun; Ziyi Yang; Xiaoyang Lyu; Yan-Pei Cao; Xiaojuan Qi,Novel view synthesis for dynamic scenes is still a challenging problem in computer vision and graphics. Recently Gaussian splatting has emerged as a robust technique to represent static scenes and enable high-quality and real-time novel view synthesis. Building upon this technique we propose a new representation that explicitly decomposes the motion and appearance of dynamic scenes into sparse control points and dense Gaussians respectively. Our key idea is to use sparse control points significantly fewer in number than the Gaussians to learn compact 6 DoF transformation bases which can be locally interpolated through learned interpolation weights to yield the motion field of 3D Gaussians. We employ a deformation MLP to predict time-varying 6 DoF transformations for each control point which reduces learning complexities enhances learning abilities and facilitates obtaining temporal and spatial coherent motion patterns. Then we jointly learn the 3D Gaussians the canonical space locations of control points and the deformation MLP to reconstruct the appearance geometry and dynamics of 3D scenes. During learning the location and number of control points are adaptively adjusted to accommodate varying motion complexities in different regions and an ARAP loss following the principle of as rigid as possible is developed to enforce spatial continuity and local rigidity of learned motions. Finally thanks to the explicit sparse motion representation and its decomposition from appearance our method can enable user-controlled motion editing while retaining high-fidelity appearances. Extensive experiments demonstrate that our approach outperforms existing approaches on novel view synthesis with a high rendering speed and enables novel appearance-preserved motion editing applications.,https://openaccess.thecvf.com/content/CVPR2024/papers/Huang_SC-GS_Sparse-Controlled_Gaussian_Splatting_for_Editable_Dynamic_Scenes_CVPR_2024_paper.pdf,,,,cvpr_openaccess_html,https://openaccess.thecvf.com/CVPR2024?day=all,,true,Wait,embedding,0,0.8200371861457825,S,"Sparse-controlled GS for editable dynamic scenes, directly addresses dynamic GS editing.",,,S,S,,,,,1,1,https://openaccess.thecvf.com/content/CVPR2024/papers/Huang_SC-GS_Sparse-Controlled_Gaussian_Splatting_for_Editable_Dynamic_Scenes_CVPR_2024_paper.pdf,,,,,
ECCV_2024::gaussctrl_multi_view_consistent_text_driven_3d_gaussian_splatting_editing,ECCV_2024_A850_GaussctrlMultiView,GaussCtrl: Multi-View Consistent Text-Driven 3D Gaussian Splatting Editing,ECCV,2024,ECCV_2024,Jing Wu; Jiawang Bian; Xinghui Li; Guangrun Wang; Ian Reid; Philip Torr; Victor Adrian Prisacariu,"We propose GaussCtrl, a text-driven method to edit a 3D scene reconstructed by the 3D Gaussian Splatting (3DGS). Our method first renders a collection of images by using the 3DGS and edits them by using a pre-trained 2D diffusion model (ControlNet) based on the input prompt, which is then used to optimise the 3D model. Our key contribution is multi-view consistent editing, which enables editing all images together instead of iteratively editing one image while updating the 3D model as in previous works. It leads to faster editing as well as higher visual quality. This is achieved by the two terms: (a) depth-conditioned editing that enforces geometric consistency across multi-view images by leveraging naturally consistent depth maps. (b) attention-based latent code alignment that unifies the appearance of edited images by conditioning their editing to several reference views through self and cross-view attention between images' latent representations. Experiments demonstrate that our method achieves faster editing and better visual results than previous state-of-the-art methods.",https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02153.pdf,,,,virtual_conference_json,https://eccv.ecva.net/static/virtual/data/eccv-2024-orals-posters.json,,true,Wait,keyword,1,0.0,S,Multi-view consistent text-driven 3DGS editing.,,,S,S,,,,,1,1,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02153.pdf,,,,,
ECCV_2024::texture_gs_disentangle_the_geometry_and_texture_for_3d_gaussian_splatting_editing,ECCV_2024_A2108_TextureGsDisentangle,Texture-GS: Disentangle the Geometry and Texture for 3D Gaussian Splatting Editing,ECCV,2024,ECCV_2024,Tian-Xing Xu; WENBO HU; Yu-Kun Lai; Ying Shan; Song-Hai Zhang,"3D Gaussian splatting, emerging as a groundbreaking approach, has drawn increasing attention for its capabilities of high-fidelity reconstruction and real-time rendering. However, it couples the appearance and geometry of the scene within the Gaussian attributes, which hinders the flexibility of editing operations, such as texture swapping. To address this issue, we propose a novel approach, namely Texture-GS, to disentangle the appearance from the geometry by representing it as a 2D texture, thereby facilitating appearance editing. Technically, the disentanglement is achieved by our proposed texture mapping module, which consists of a UV mapping MLP to learn the UV coordinates for the 3D Gaussian centers, a local Taylor expansion of the MLP to efficiently approximate the UV coordinates for the ray-Gaussian intersections, and a learnable texture to capture the fine-grained appearance. Extensive experiments on the DTU dataset demonstrate that our method not only facilitates high-fidelity appearance editing but also achieves real-time rendering on consumer-level devices, e.g. a single RTX 2080 Ti GPU.",https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/03567.pdf,,,,virtual_conference_json,https://eccv.ecva.net/static/virtual/data/eccv-2024-orals-posters.json,,true,Wait,keyword,1,0.0,S,Geometry-texture disentanglement for 3DGS editing.,,,S,S,,,,,1,1,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/03567.pdf,,,,,
ICCV_2025::intergsedit_interactive_3d_gaussian_splatting_editing_with_3d_geometry_consistent_attention_prior,ICCV_2025_A1237_IntergseditInteractive3d,InterGSEdit: Interactive 3D Gaussian Splatting Editing with 3D Geometry-Consistent Attention Prior,ICCV,2025,ICCV_2025,Minghao Wen; Shengjie Wu; Kangkan Wang; Dong Liang,"3D Gaussian Splatting based 3D editing has demonstrated impressive performance in recent years. However, the multi-view editing often exhibits significant local inconsistency, especially in areas of non-rigid deformation, which lead to local artifacts, texture blurring, or semantic variations in edited 3D scenes. We also found that the existing editing methods, which rely entirely on text prompts make the editing process a""one-shot deal"", making it difficult for users to control the editing degree flexibly. In response to these challenges, we present InterGSEdit, a novel framework for high-quality 3DGS editing via interactively selecting key views with users'preferences. We propose a CLIP-based Semantic Consistency Selection (CSCS) strategy to adaptively screen a group of semantically consistent reference views for each user-selected key view. Then, the cross-attention maps derived from the reference views are used in a weighted Gaussian Splatting unprojection to construct the 3D Geometry-Consistent Attention Prior ($GAP^{3D}$). We project $GAP^{3D}$ to obtain 3D-constrained attention, which are fused with 2D cross-attention via Attention Fusion Network (AFN). AFN employs an adaptive attention strategy that prioritizes 3D-constrained attention for geometric consistency during early inference, and gradually prioritizes 2D cross-attention maps in diffusion for fine-grained features during the later inference. Extensive experiments demonstrate that InterGSEdit achieves state-of-the-art performance, delivering consistent, high-fidelity 3DGS editing with improved user experience.",https://openaccess.thecvf.com/content/ICCV2025/papers/Wen_InterGSEdit_Interactive_3D_Gaussian_Splatting_Editing_with_3D_Geometry-Consistent_Attention_ICCV_2025_paper.pdf,2507.04961,https://arxiv.org/abs/2507.04961,,cvpr_openaccess_html,https://openaccess.thecvf.com/ICCV2025?day=all,,true,Wait,both,1,0.8416832685470581,S,Title contains editing; core 3DGS editing method.,,,S,S,,,,,1,1,https://arxiv.org/pdf/2507.04961.pdf,,,,,
ICLR_2024::real_time_photorealistic_dynamic_scene_representation_and_rendering_with_4d_gaussian_splatting,ICLR_2024_A1687_RealTimePhotorealistic,Real-time Photorealistic Dynamic Scene Representation and Rendering with 4D Gaussian Splatting,ICLR,2024,ICLR_2024,Zeyu Yang; Hongye Yang; Zijie Pan; Li Zhang,"Reconstructing dynamic 3D scenes from 2D images and generating diverse views over time is challenging due to scene complexity and temporal dynamics. Despite advancements in neural implicit models, limitations persist: (i) Inadequate Scene Structure: Existing methods struggle to reveal the spatial and temporal structure of dynamic scenes from directly learning the complex 6D plenoptic function. (ii) Scaling Deformation Modeling: Explicitly modeling scene element deformation becomes impractical for complex dynamics. To address these issues, we consider the spacetime as an entirety and propose to approximate the underlying spatio-temporal 4D volume of a dynamic scene by optimizing a collection of 4D primitives, with explicit geometry and appearance modeling. Learning to optimize the 4D primitives enables us to synthesize novel views at any desired time with our tailored rendering routine. Our model is conceptually simple, consisting of a 4D Gaussian parameterized by anisotropic ellipses that can rotate arbitrarily in space and time, as well as view-dependent and time-evolved appearance represented by the coefficient of 4D spherindrical harmonics. This approach offers simplicity, flexibility for variable-length video and end-to-end training, and efficient real-time rendering, making it suitable for capturing complex dynamic scene motions. Experiments across various benchmarks, including monocular and multi-view scenarios, demonstrate our 4DGS model's superior visual quality and efficiency.",https://iclr.cc/virtual/2024/poster/18466,,,,virtual_conference_json,https://iclr.cc/static/virtual/data/iclr-2024-orals-posters.json,,,Wait,both,2,0.8588980436325073,S,4DGS with 4D Gaussian primitives and anisotropic ellipses rotating in space-time. Essential baseline and foundational work.,,,S,S,,,,,1,0,,,,,,
